precision,validation_images,precision_mean,recall_mean,map50,map50_95
fp32,290,0.8645324439548421,0.8382020567213593,0.88430029971716,0.5985719276602057
int8,290,0.8379333195352652,0.7320813725589996,0.8131400410523748,0.44955628116110297
int8_mixed_output_fp32,290,0.9163531036931885,0.7315475802536715,0.8446397335064378,0.5516157308596077
int8_mixed_head_fp32,290,0.8393416828737433,0.7830541318635572,0.8511540945071217,0.5602197088187928
