profile,model_bin_bytes,model_bin_mib,size_reduction_percent,precision_mean,recall_mean,map50,map50_95,benchmark_runs,preprocess_mean_ms,inference_mean_ms,postprocess_mean_ms,end_to_end_mean_ms,end_to_end_p50_ms,end_to_end_p95_ms,fps
fp32,10433660,9.950313568115234,0.0,0.8645324439548421,0.8382020567213593,0.88430029971716,0.5985719276602057,100,2.9273327,25.034593000000005,0.040545090000000006,28.002466000000005,27.6991,32.274294999999995,35.711140583118635
int8,2739900,2.6129722595214844,73.7397998401328,0.8379333195352652,0.7320813725589996,0.8131400410523748,0.44955628116110297,100,2.1014486,22.590542,0.04578604,24.737777,25.2255,27.734635,40.42400414556247
int8_mixed_output_fp32,3085576,2.9426345825195312,70.42671507409672,0.9163531036931885,0.7315475802536715,0.8446397335064378,0.5516157308596077,100,1.7727814999999998,21.387351,0.0365729,23.196704,24.2423,26.321785,43.10957280827483
int8_mixed_head_fp32,3161960,3.0154800415039062,69.69462297985558,0.8393416828737433,0.7830541318635572,0.8511540945071217,0.5602197088187928,100,2.6136567999999993,20.365585,0.03787145,23.017117000000002,22.5809,27.500304999999997,43.44592765462329
